d2.5_l10,,d3_l10,,d3.5_l10,,d4_l10,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB)
124.145508,82.438,124.145508,82.345,124.145508,81.756,124.145508,81.664
124.511719,82.472,124.511719,82.379,124.511719,81.79,124.511719,81.698
124.87793,82.505,124.87793,82.413,124.87793,81.824,124.87793,81.732
125.244141,82.538,125.244141,82.446,125.244141,81.858,125.244141,81.766
125.610352,82.57,125.610352,82.479,125.610352,81.891,125.610352,81.8
125.976562,82.602,125.976562,82.511,125.976562,81.924,125.976562,81.834
126.342773,82.634,126.342773,82.544,126.342773,81.957,126.342773,81.868
126.708984,82.666,126.708984,82.576,126.708984,81.99,126.708984,81.901
127.075195,82.699,127.075195,82.608,127.075195,82.023,127.075195,81.933
127.441406,82.731,127.441406,82.64,127.441406,82.055,127.441406,81.966
127.807617,82.763,127.807617,82.672,127.807617,82.088,127.807617,81.998
128.173828,82.795,128.173828,82.703,128.173828,82.12,128.173828,82.03
128.540039,82.827,128.540039,82.734,128.540039,82.153,128.540039,82.062
128.90625,82.859,128.90625,82.766,128.90625,82.185,128.90625,82.094
129.272461,82.89,129.272461,82.797,129.272461,82.217,129.272461,82.126
129.638672,82.921,129.638672,82.828,129.638672,82.249,129.638672,82.157
130.004883,82.952,130.004883,82.859,130.004883,82.28,130.004883,82.189
130.371094,82.983,130.371094,82.89,130.371094,82.311,130.371094,82.219
130.737305,83.014,130.737305,82.92,130.737305,82.342,130.737305,82.25
131.103516,83.044,131.103516,82.951,131.103516,82.373,131.103516,82.281
131.469727,83.074,131.469727,82.982,131.469727,82.404,131.469727,82.311
131.835938,83.105,131.835938,83.012,131.835938,82.435,131.835938,82.342
132.202148,83.135,132.202148,83.043,132.202148,82.466,132.202148,82.373
132.568359,83.166,132.568359,83.073,132.568359,82.496,132.568359,82.404
132.93457,83.196,132.93457,83.103,132.93457,82.527,132.93457,82.435
133.300781,83.227,133.300781,83.133,133.300781,82.557,133.300781,82.466
133.666992,83.257,133.666992,83.162,133.666992,82.587,133.666992,82.497
134.033203,83.288,134.033203,83.192,134.033203,82.616,134.033203,82.527
134.399414,83.317,134.399414,83.221,134.399414,82.646,134.399414,82.557
134.765625,83.347,134.765625,83.25,134.765625,82.676,134.765625,82.587
135.131836,83.376,135.131836,83.28,135.131836,82.705,135.131836,82.617
135.498047,83.405,135.498047,83.309,135.498047,82.735,135.498047,82.647
135.864258,83.433,135.864258,83.338,135.864258,82.764,135.864258,82.677
136.230469,83.46,136.230469,83.367,136.230469,82.793,136.230469,82.707
136.59668,83.488,136.59668,83.396,136.59668,82.822,136.59668,82.736
136.962891,83.515,136.962891,83.424,136.962891,82.851,136.962891,82.765
137.329102,83.543,137.329102,83.452,137.329102,82.881,137.329102,82.794
137.695312,83.57,137.695312,83.48,137.695312,82.91,137.695312,82.823
138.061523,83.598,138.061523,83.507,138.061523,82.939,138.061523,82.852
138.427734,83.626,138.427734,83.534,138.427734,82.968,138.427734,82.881
138.793945,83.654,138.793945,83.562,138.793945,82.998,138.793945,82.909
139.160156,83.682,139.160156,83.589,139.160156,83.026,139.160156,82.937
139.526367,83.71,139.526367,83.616,139.526367,83.055,139.526367,82.965
139.892578,83.737,139.892578,83.643,139.892578,83.084,139.892578,82.993
140.258789,83.765,140.258789,83.67,140.258789,83.112,140.258789,83.021
140.625,83.792,140.625,83.697,140.625,83.141,140.625,83.049
140.991211,83.819,140.991211,83.724,140.991211,83.169,140.991211,83.077
141.357422,83.846,141.357422,83.75,141.357422,83.196,141.357422,83.105
141.723633,83.873,141.723633,83.777,141.723633,83.223,141.723633,83.133
142.089844,83.899,142.089844,83.804,142.089844,83.25,142.089844,83.161
142.456055,83.925,142.456055,83.83,142.456055,83.277,142.456055,83.188
142.822266,83.952,142.822266,83.857,142.822266,83.304,142.822266,83.216
143.188477,83.978,143.188477,83.883,143.188477,83.331,143.188477,83.243
143.554688,84.004,143.554688,83.909,143.554688,83.357,143.554688,83.27
143.920898,84.031,143.920898,83.936,143.920898,83.383,143.920898,83.297
144.287109,84.057,144.287109,83.962,144.287109,83.41,144.287109,83.324
144.65332,84.083,144.65332,83.988,144.65332,83.436,144.65332,83.351
145.019531,84.11,145.019531,84.013,145.019531,83.462,145.019531,83.379
145.385742,84.136,145.385742,84.039,145.385742,83.488,145.385742,83.406
145.751953,84.162,145.751953,84.065,145.751953,83.514,145.751953,83.433
146.118164,84.188,146.118164,84.091,146.118164,83.54,146.118164,83.46
146.484375,84.214,146.484375,84.116,146.484375,83.567,146.484375,83.487
146.850586,84.24,146.850586,84.141,146.850586,83.593,146.850586,83.514
147.216797,84.266,147.216797,84.166,147.216797,83.619,147.216797,83.541
147.583008,84.291,147.583008,84.191,147.583008,83.646,147.583008,83.567
147.949219,84.316,147.949219,84.215,147.949219,83.672,147.949219,83.594
148.31543,84.341,148.31543,84.239,148.31543,83.698,148.31543,83.62
148.681641,84.366,148.681641,84.264,148.681641,83.724,148.681641,83.645
149.047852,84.39,149.047852,84.288,149.047852,83.75,149.047852,83.671
149.414062,84.414,149.414062,84.313,149.414062,83.775,149.414062,83.697
149.780273,84.439,149.780273,84.337,149.780273,83.801,149.780273,83.722
150.146484,84.463,150.146484,84.362,150.146484,83.827,150.146484,83.747
150.512695,84.487,150.512695,84.386,150.512695,83.853,150.512695,83.772
150.878906,84.511,150.878906,84.41,150.878906,83.878,150.878906,83.796
151.245117,84.535,151.245117,84.434,151.245117,83.903,151.245117,83.821
151.611328,84.559,151.611328,84.458,151.611328,83.928,151.611328,83.845
151.977539,84.583,151.977539,84.481,151.977539,83.953,151.977539,83.87
152.34375,84.606,152.34375,84.505,152.34375,83.977,152.34375,83.895
152.709961,84.63,152.709961,84.528,152.709961,84.001,152.709961,83.92
153.076172,84.654,153.076172,84.551,153.076172,84.025,153.076172,83.945
153.442383,84.677,153.442383,84.574,153.442383,84.049,153.442383,83.97
153.808594,84.7,153.808594,84.597,153.808594,84.072,153.808594,83.994
154.174805,84.723,154.174805,84.62,154.174805,84.096,154.174805,84.019
154.541016,84.746,154.541016,84.643,154.541016,84.12,154.541016,84.043
154.907227,84.769,154.907227,84.666,154.907227,84.144,154.907227,84.067
155.273438,84.791,155.273438,84.689,155.273438,84.167,155.273438,84.091
155.639648,84.814,155.639648,84.712,155.639648,84.191,155.639648,84.115
156.005859,84.836,156.005859,84.735,156.005859,84.214,156.005859,84.139
156.37207,84.858,156.37207,84.757,156.37207,84.237,156.37207,84.163
