d3_l10,,d3_l15,,d3_l20,,,,,
Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),Freq(Hz),SPL(dB),,,,
153.076172,84.551,153.076172,84.493,153.076172,84.731,,,,
153.442383,84.574,153.442383,84.517,153.442383,84.756,,,,
153.808594,84.597,153.808594,84.542,153.808594,84.781,,,,
154.174805,84.62,154.174805,84.567,154.174805,84.805,,,,
154.541016,84.643,154.541016,84.591,154.541016,84.829,,,,
154.907227,84.666,154.907227,84.616,154.907227,84.853,,,,
155.273438,84.689,155.273438,84.64,155.273438,84.877,,,,
155.639648,84.712,155.639648,84.665,155.639648,84.9,,,,
156.005859,84.735,156.005859,84.689,156.005859,84.923,,,,
156.37207,84.757,156.37207,84.712,156.37207,84.945,,,,
156.738281,84.78,156.738281,84.735,156.738281,84.968,,,,
157.104492,84.802,157.104492,84.758,157.104492,84.991,,,,
157.470703,84.825,157.470703,84.781,157.470703,85.013,,,,
157.836914,84.848,157.836914,84.804,157.836914,85.037,,,,
158.203125,84.87,158.203125,84.826,158.203125,85.06,,,,
158.569336,84.892,158.569336,84.849,158.569336,85.083,,,,
158.935547,84.914,158.935547,84.872,158.935547,85.107,,,,
159.301758,84.936,159.301758,84.895,159.301758,85.13,,,,
159.667969,84.957,159.667969,84.918,159.667969,85.154,,,,
160.03418,84.978,160.03418,84.942,160.03418,85.177,,,,
160.400391,85,160.400391,84.965,160.400391,85.201,,,,
160.766602,85.021,160.766602,84.988,160.766602,85.224,,,,
161.132812,85.042,161.132812,85.011,161.132812,85.246,,,,
161.499023,85.064,161.499023,85.033,161.499023,85.269,,,,
161.865234,85.085,161.865234,85.056,161.865234,85.291,,,,
162.231445,85.106,162.231445,85.078,162.231445,85.313,,,,
162.597656,85.127,162.597656,85.1,162.597656,85.335,,,,
162.963867,85.148,162.963867,85.122,162.963867,85.357,,,,
163.330078,85.168,163.330078,85.144,163.330078,85.378,,,,
163.696289,85.189,163.696289,85.166,163.696289,85.399,,,,
164.0625,85.21,164.0625,85.188,164.0625,85.421,,,,
164.428711,85.23,164.428711,85.21,164.428711,85.442,,,,
164.794922,85.251,164.794922,85.232,164.794922,85.463,,,,
165.161133,85.272,165.161133,85.253,165.161133,85.484,,,,
165.527344,85.292,165.527344,85.275,165.527344,85.505,,,,
165.893555,85.313,165.893555,85.296,165.893555,85.525,,,,
166.259766,85.333,166.259766,85.318,166.259766,85.546,,,,
166.625977,85.354,166.625977,85.339,166.625977,85.567,,,,
166.992188,85.374,166.992188,85.36,166.992188,85.588,,,,
167.358398,85.394,167.358398,85.382,167.358398,85.609,,,,
167.724609,85.415,167.724609,85.403,167.724609,85.63,,,,
168.09082,85.434,168.09082,85.424,168.09082,85.651,,,,
168.457031,85.454,168.457031,85.445,168.457031,85.671,,,,
168.823242,85.474,168.823242,85.466,168.823242,85.692,,,,
169.189453,85.494,169.189453,85.487,169.189453,85.713,,,,
169.555664,85.513,169.555664,85.508,169.555664,85.734,,,,
169.921875,85.533,169.921875,85.528,169.921875,85.754,,,,
170.288086,85.553,170.288086,85.549,170.288086,85.775,,,,
